order_id,uuid,frameworkUUID,function,functionID,category,categoryID,category_statement,subcategory,control_statement,default_question,reference,framework_id,subcategoryID
35,2a9bf234876a4343b3f41a032610862d,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Identity Management, Authentication and Access Control",PR.AC,"Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.","","Identities are proofed and bound to credentials and asserted in interactions","Describe in detail the mechanisms and processes used by your organization to verify an identity prior to issuing them a credential. ","",faa6919f201c4bd4bfec3bc337f1e381,PR.AC-6
36,eae77e0e524b4031ab2a09d905d946bb,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Identity Management, Authentication and Access Control",PR.AC,"Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.","","Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)","Describe in detail how your organization authenticates users, devices, and other assets commensurate with risks. Is multi-factor authentication utilized? What are the criteria to determining if multi-factor or single-factor are required?","",faa6919f201c4bd4bfec3bc337f1e381,PR.AC-7
37,f9906fe967484f2eb70e8c50aa82d624,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Awareness and Training",PR.AT,"The organization’s personnel and partners are provided cybersecurity awareness education and are trained to perform their cybersecurity-related duties and responsibilities consistent with related policies, procedures, and agreements.","","All users are informed and trained ","Describe in detail how your organization provides their users training and education regarding their information security-related duties and and responsibilities.","",faa6919f201c4bd4bfec3bc337f1e381,PR.AT-1
38,c28a3891d90741669143a6afa9b7f20c,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Awareness and Training",PR.AT,"The organization’s personnel and partners are provided cybersecurity awareness education and are trained to perform their cybersecurity-related duties and responsibilities consistent with related policies, procedures, and agreements.","","Privileged users understand their roles and responsibilities ","Describe in detail how your organization provides their privileged users training and education regarding their information security-related duties and responsibilities.","",faa6919f201c4bd4bfec3bc337f1e381,PR.AT-2
39,f3052d746e0c488996c73d93a88e79f4,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Awareness and Training",PR.AT,"The organization’s personnel and partners are provided cybersecurity awareness education and are trained to perform their cybersecurity-related duties and responsibilities consistent with related policies, procedures, and agreements.","","Third-party stakeholders (e.g., suppliers, customers, partners) understand their roles and responsibilities ","Describe in detail how your organization provides their third parties training and education regarding their information security-related duties and and responsibilities.","",faa6919f201c4bd4bfec3bc337f1e381,PR.AT-3
40,99ce21ccb58f42af848abc2efced9209,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Awareness and Training",PR.AT,"The organization’s personnel and partners are provided cybersecurity awareness education and are trained to perform their cybersecurity-related duties and responsibilities consistent with related policies, procedures, and agreements.","","Senior executives understand their roles and responsibilities ","Describe in detail how your organization provides their senior management training and education regarding their information security-related duties and and responsibilities.","",faa6919f201c4bd4bfec3bc337f1e381,PR.AT-4
41,41eb0cbfd1404565876a81cd069118f3,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Awareness and Training",PR.AT,"The organization’s personnel and partners are provided cybersecurity awareness education and are trained to perform their cybersecurity-related duties and responsibilities consistent with related policies, procedures, and agreements.","","Physical and cybersecurity personnel understand their roles and responsibilities ","Describe in detail how your organization provides their security personnel training and education regarding their information security-related duties and and responsibilities.","",faa6919f201c4bd4bfec3bc337f1e381,PR.AT-5
42,30da2a1b17314e249c53fbdbb9eff2b4,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Data Security",PR.DS,"Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.","","Data-at-rest is protected","Describe in detail how your organization protects sensitive information as it rests on storage.","",faa6919f201c4bd4bfec3bc337f1e381,PR.DS-1
43,caa53b0f0ff94678b4fb2e766787ba4d,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Data Security",PR.DS,"Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.","","Data-in-transit is protected","Describe in detail how your organization protects sensitive information as it is transmitted across networks.","",faa6919f201c4bd4bfec3bc337f1e381,PR.DS-2
44,af48758b474d4e0b9aa9a5e2a6a510ff,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Data Security",PR.DS,"Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.","","Assets are formally managed throughout removal, transfers, and disposition","Describe in detail how your organization has robust processes that manage assets through the lifecycle of removal, transfer and disposition.","",faa6919f201c4bd4bfec3bc337f1e381,PR.DS-3
45,8305ae72577f494b9299eb94a662451a,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Data Security",PR.DS,"Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.","","Adequate capacity to ensure availability is maintained","Describe in detail how your organization has robust processes to ensure sensitive information is available for its users.","",faa6919f201c4bd4bfec3bc337f1e381,PR.DS-4
46,b2fc875622f94940bc9d96c131dc1925,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Data Security",PR.DS,"Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.","","Protections against data leaks are implemented","Describe in detail how your organization has implemented protection mechanisms against data leaks.","",faa6919f201c4bd4bfec3bc337f1e381,PR.DS-5
47,e0f685aa59334a04b91bd256cbfdb3ed,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Data Security",PR.DS,"Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.","","Integrity checking mechanisms are used to verify software, firmware, and information integrity","Describe in detail how your organization has robust processes to ensure software, firmware and information maintain their integrity.","",faa6919f201c4bd4bfec3bc337f1e381,PR.DS-6
48,3854d01b00aa4a2caf21c52eeffea2b5,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Data Security",PR.DS,"Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.","","The development and testing environment(s) are separate from the production environment","Describe in detail how your organization has implemented separate environments for development, testing and production.","",faa6919f201c4bd4bfec3bc337f1e381,PR.DS-7
49,f0d0d12edbae4eec94b5b170585e12db,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Data Security",PR.DS,"Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.","","Integrity checking mechanisms are used to verify hardware integrity","Describe in detail how your organization verifies hardware integrity by using Integrity checking mechanisms.","",faa6919f201c4bd4bfec3bc337f1e381,PR.DS-8
50,01aedfd231644179a55fb804777db3c3,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Information Protection Processes and Procedures",PR.IP,"Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.","","A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)","Describe in detail how your organization creates and maintains baseline configurations for information technology systems.","",faa6919f201c4bd4bfec3bc337f1e381,PR.IP-1
51,4b586775b3c444ec8d01f400bf8032cb,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Information Protection Processes and Procedures",PR.IP,"Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.","","A System Development Life Cycle to manage systems is implemented","Describe in detail how your organization manages information systems leveraging an industry-recognized System Development Life Cycle.","",faa6919f201c4bd4bfec3bc337f1e381,PR.IP-2
52,44078b34995f4d34ae7a41e6b76c319c,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Information Protection Processes and Procedures",PR.IP,"Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.","","Configuration change control processes are in place","Describe in detail how your organization has implemented change control processes to manage information system changes.","",faa6919f201c4bd4bfec3bc337f1e381,PR.IP-3
53,02fc1de31f4c47da836a2f5b5c52d278,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Information Protection Processes and Procedures",PR.IP,"Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.","","Backups of information are conducted, maintained, and tested ","Describe in detail how your organization conducts routine backups, maintains them in accordance with security policies and record retention policies and tests backups on a routine periodic basis.","",faa6919f201c4bd4bfec3bc337f1e381,PR.IP-4
54,a8934a8970b84ec7bfa86b6affc05082,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Information Protection Processes and Procedures",PR.IP,"Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.","","Policy and regulations regarding the physical operating environment for organizational assets are met","Describe in detail how your organization destroys information in accordance with security policies and record retention policies.","",faa6919f201c4bd4bfec3bc337f1e381,PR.IP-5
55,b3fc3d0f2ee54ea6b59892733079ccc0,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Information Protection Processes and Procedures",PR.IP,"Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.","","Data is destroyed according to policy","Describe in detail how your organization destroys information in accordance with security policies and record retention policies.","",faa6919f201c4bd4bfec3bc337f1e381,PR.IP-6
56,42f0b3ba493c45b39e67efca61ea1adc,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Information Protection Processes and Procedures",PR.IP,"Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.","","Protection processes are improved","Describe in detail how your organization creates, maintains and updates policy regarding security in the physical operating environment.","",faa6919f201c4bd4bfec3bc337f1e381,PR.IP-7
57,ea3f91b66995482193be5bf1dacd72b1,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Information Protection Processes and Procedures",PR.IP,"Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.","","Effectiveness of protection technologies is shared ","Describe in detail how your organization communicates how effective protection mechanisms are to upper management and stakeholders.","",faa6919f201c4bd4bfec3bc337f1e381,PR.IP-8
58,1d13fd358bb643bfacffdd11f2fd97b3,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Information Protection Processes and Procedures",PR.IP,"Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.","","Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed","Describe in detail how your organization has implemented and manages incident response and recovery plans.","",faa6919f201c4bd4bfec3bc337f1e381,PR.IP-9
59,d1a3b5a5137b42e1821a3ef42061c6b0,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Information Protection Processes and Procedures",PR.IP,"Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.","","Response and recovery plans are tested","Describe in detail how your organization conducts incident response testing on a routine basis.","",faa6919f201c4bd4bfec3bc337f1e381,PR.IP-10
60,9088c57ec84741f1820ede76e6ab0c95,faa6919f201c4bd4bfec3bc337f1e381,PR,"","Information Protection Processes and Procedures",PR.IP,"Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.","","Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)","Describe in detail how your organization incorporates cybersecurity into their human resources practices for personnel screening, on-boarding and deprovisioning.","",faa6919f201c4bd4bfec3bc337f1e381,PR.IP-11
